Merilno mesto,GSRN MM,Časovna značka,Leto,Mesec,Energija A+,Energija A-,Energija R+,Energija R-,P+ Prejeta delovna moč,P- Oddana delovna moč,Q+ Prejeta jalova moč,Q- Oddana jalova moč,Blok,Dogovorjena moč,Status odčitka A+,Status odčitka A-,Status odčitka R+,Status odčitka R-,Obračunski podatek
6-80061,383111580026338459,2023-01-01T00:15,2023,1,0.6670,0.0000,,,2.6680,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T00:30,2023,1,0.8040,0.0000,,,3.2160,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T00:45,2023,1,0.8090,0.0000,,,3.2360,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T01:00,2023,1,0.8320,0.0000,,,3.3280,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T01:15,2023,1,0.7590,0.0000,,,3.0360,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T01:30,2023,1,0.7350,0.0000,,,2.9400,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T01:45,2023,1,0.6020,0.0000,,,2.4080,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T02:00,2023,1,0.7070,0.0000,,,2.8280,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T02:15,2023,1,0.6280,0.0000,,,2.5120,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T02:30,2023,1,0.5660,0.0000,,,2.2640,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T02:45,2023,1,0.5710,0.0000,,,2.2840,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T03:00,2023,1,0.3230,0.0000,,,1.2920,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T03:15,2023,1,0.6300,0.0000,,,2.5200,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T03:30,2023,1,0.7100,0.0000,,,2.8400,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T03:45,2023,1,0.7490,0.0000,,,2.9960,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T04:00,2023,1,0.5720,0.0000,,,2.2880,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T04:15,2023,1,0.3920,0.0000,,,1.5680,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T04:30,2023,1,0.3650,0.0000,,,1.4600,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T04:45,2023,1,0.3710,0.0000,,,1.4840,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T05:00,2023,1,0.3140,0.0000,,,1.2560,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T05:15,2023,1,0.3240,0.0000,,,1.2960,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T05:30,2023,1,0.3350,0.0000,,,1.3400,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T05:45,2023,1,0.3440,0.0000,,,1.3760,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T06:00,2023,1,0.3550,0.0000,,,1.4200,0.0000,,,4,,,,,,Ne
6-80061,383111580026338459,2023-01-01T06:15,2023,1,0.3710,0.0000,,,1.4840,0.0000,,,3,,,,,,Ne
6-80061,383111580026338459,2023-01-01T06:30,2023,1,0.3300,0.0000,,,1.3200,0.0000,,,3,,,,,,Ne
6-80061,383111580026338459,2023-01-01T06:45,2023,1,0.3350,0.0000,,,1.3400,0.0000,,,3,,,,,,Ne
6-80061,383111580026338459,2023-01-01T07:00,2023,1,0.3200,0.0000,,,1.2800,0.0000,,,3,,,,,,Ne
6-80061,383111580026338459,2023-01-01T07:15,2023,1,0.3870,0.0000,,,1.5480,0.0000,,,2,,,,,,Ne
6-80061,383111580026338459,2023-01-01T07:30,2023,1,0.3760,0.0000,,,1.5040,0.0000,,,2,,,,,,Ne
6-80061,383111580026338459,2023-01-01T07:45,2023,1,0.3930,0.0000,,,1.5720,0.0000,,,2,,,,,,Ne
6-80061,383111580026338459,2023-01-01T08:00,2023,1,0.5380,0.0000,,,2.1520,0.0000,,,2,,,,,,Ne
6-80061,383111580026338459,2023-01-01T08:15,2023,1,0.4890,0.0000,,,1.9560,0.0000,,,2,,,,,,Ne
6-80061,383111580026338459,2023-01-01T08:30,2023,1,0.4250,0.0000,,,1.7000,0.0000,,,2,,,,,,Ne
6-80061,383111580026338459,2023-01-01T08:45,2023,1,0.1620,0.0240,,,0.6480,0.0960,,,2,,,,,,Ne
6-80061,383111580026338459,2023-01-01T09:00,2023,1,0.0850,0.2400,,,0.3400,0.9600,,,2,,,,,,Ne
